ProcessID,DelayedRejectionStage,MeanAcceptanceRate,AdaptationMeasure,BurninLocation,SampleWeight,SampleLogFunc,sub rough,Oxide thick,Sam tails thick,Sam tails hydration,Sam rough,cw thick,SAM head thick,SAM head hydration,Bilayer head thick,Bilayer rough,Bilayer tails thick,Bilayer tails hydr,Bilayer heads hydr,Oxide Hydration,Backs parameter 1,Backs parameter 2
1,0,1.0000000,.0000000,1,1,-93.453908,.50000000,.50000000,.50000000,.50000000,.50000000,.50000000,.50000000,.50000000,.50000000,.50000000,.50000000,.50000000,.50000000,.50000000,.50000000,.50000000
1,0,1.0000000,.0000000,1,1,-92.690479,.49628547,.48943451,.49426408,.49030193,.49739278,.49835534,.48784268,.50286883,.50350072,.51752951,.50828298,.51256419,.49540297,.51502804,.49631673,.50403390
1,0,1.0000000,.0000000,1,1,-92.253662,.50304645,.50461328,.50157059,.47765472,.50068764,.49947672,.48684651,.50602910,.48887753,.52559604,.49256089,.50305928,.48089393,.49353183,.49751232,.51235587
1,0,1.0000000,.0000000,1,1,-89.817714,.51355652,.48175024,.50187177,.48315453,.50984580,.49055372,.48805764,.50479901,.50406741,.52061789,.49532746,.49722700,.46899421,.49801583,.51424159,.51233158
1,0,.83555984,.0000000,4,2,-88.067325,.50768804,.46809280,.49863692,.47791512,.50967540,.47966423,.50559008,.50655412,.48608549,.53050598,.49123662,.49646971,.48744981,.50274521,.54704342,.50659368
1,0,.77385309,.0000000,4,2,-84.420653,.49419927,.47316349,.48708229,.44933516,.51570608,.47142957,.49640302,.51313810,.49053383,.52453242,.48261426,.49724525,.48292294,.50188806,.54442276,.52577237
1,0,.73154995,.0000000,6,2,-82.897732,.50663333,.46924133,.49024791,.45564156,.50933112,.48309298,.49999687,.52662623,.48393077,.51913912,.48010104,.48495299,.48341878,.51260154,.52944497,.52725761
1,0,.75595450,.0000000,6,1,-78.391690,.49568074,.47076859,.49155055,.43306156,.52139317,.48607903,.50559786,.51797981,.47001863,.51228331,.48102649,.47220189,.45908351,.50251261,.53950316,.54064715
1,0,.71665560,.0000000,8,2,-75.234460,.47706195,.47062293,.50163916,.42394035,.50081159,.48227821,.51307458,.50970662,.47803286,.51604649,.46903161,.45991263,.45857617,.49593048,.55196772,.54056856
1,0,.73689448,.0000000,9,1,-73.811592,.48373048,.46281032,.49673698,.42109244,.48521786,.49044089,.51904794,.52227772,.47983879,.52336727,.45882974,.46484852,.46224688,.49129524,.54148004,.55501577
1,0,.75443485,.0000000,9,1,-71.254898,.48410557,.46329738,.48338926,.40685673,.45838635,.49671365,.50691158,.50800098,.47954997,.53717185,.47895557,.46850110,.45071798,.49074807,.53539938,.55413440
1,0,.76978267,.0000000,11,1,-69.890278,.48611373,.45879374,.47552576,.41679653,.45282164,.50884178,.51168411,.48459693,.48253529,.51403728,.49019423,.46952314,.45872369,.48384563,.52069795,.55889376
1,0,.78332487,.0000000,11,1,-67.451405,.48490057,.43838112,.47383390,.41553374,.45116572,.48934625,.52699542,.48064893,.47715644,.51835313,.48419390,.46828048,.44675381,.49113383,.50970586,.57879451
1,0,.75500965,.0000000,12,2,-65.539443,.48577385,.42230786,.48130185,.41675239,.45734013,.48529869,.50436665,.48695176,.47480985,.51571436,.46802222,.46442312,.44676529,.49849211,.51402237,.58400528
1,0,.76725917,.0000000,13,1,-63.191956,.49257436,.40405575,.47406767,.41090852,.45877916,.48065463,.48554344,.48620119,.48689982,.51237054,.46613688,.46172286,.43074406,.50173411,.51079666,.59264365
1,0,.77834206,.0000000,14,1,-60.915673,.50008735,.38893253,.47353523,.41069562,.43632905,.48798888,.49392266,.47876881,.47624356,.51522521,.46184626,.45723962,.44356371,.50521845,.51528304,.59797216
