SampleLogFunc,sub rough,Oxide thick,Sam tails thick,Sam tails hydration,Sam rough,cw thick,SAM head thick,SAM head hydration,Bilayer head thick,Bilayer rough,Bilayer tails thick,Bilayer tails hydr,Bilayer heads hydr,Oxide Hydration,Backs parameter 1,Backs parameter 2
-13.667291,.45090394,.15365227,.60100890,.35440829,.29958164,.34547320,.36554702,.95372953,.38304675,.24540533,.13590549,.15415967,.21413627E-01,.85336460,.43545507,.90260924
-13.745230,.44190081,.18876222,.57339993,.32935493,.28452192,.41643334,.40783410,.90837073,.35122879,.25280419,.15493239,.27490858,.78282697E-01,.75211410,.44234174,.79541464
-13.373430,.23119428,.23025340,.55305506,.32573170,.46626702E-01,.29367846,.49518726,.82387294,.38687073,.43420824,.23203405,.12881717,.60861403E-01,.56340666,.31427249,.30498846
-7.8902165,.22221662E-01,.21243439,.41498741,.30828698,.17848319,.48445012,.51307364,.47652853,.63193860E-01,.53276645,.49406195,.17170941E-01,.32027107,.46451444,.30041364,.48802047
-10.781666,.24537596,.21827384,.47161033,.32412272,.19679556,.50841467,.44943896,.92860614,.19715287,.40447580,.24646180,.13685441,.41571129E-01,.38008279,.69533566,.61934600
-9.5314299,.16785443,.23543954,.49632243,.39502606,.28820827,.49806756,.31997781,.53737324E-01,.23592922,.34124100,.57633750,.26088510,.34684169,.28997212,.27192063,.59341849
-8.2071567,.43380169,.26907976,.51593938,.38179555,.13220559E-01,.48142108,.21882895,.23431073,.42144540,.47182345,.26267932,.10226705,.19638022,.17608501,.26545285,.36280684
-7.4000481,.49787046,.21020492,.60494936,.45438581,.57891934E-01,.46052397,.17374734E-01,.12601280E-01,.24406305,.19667295,.71209457,.26662221,.93939797,.44182904,.19919782,.61305723
-8.7113880,.34211474,.17481864,.58321213,.36637965,.27429030,.41753371,.30086337,.46885743,.14380081,.39253368,.50849735,.15333210,.41818422,.33213280,.57536845,.71465187
-7.9306048,.57963816,.19337525,.49895739,.32620990,.28769993,.55893132,.80417889E-01,.14636981,.38927025,.43219493,.25432128,.98120277E-01,.35071977,.49353321,.31391232,.75971983
-7.4588919,.16716985,.25220112,.34285051,.70342325E-01,.43795790,.55196063,.33173422,.48975981,.34234908,.50606163,.33395387,.66006421E-01,.41960260,.48189656,.40289466,.17298719
-10.762618,.41459690,.29988167,.37913621,.21078912,.28119385,.56499532,.30324037,.78366335,.22298790,.49090752,.35782222,.11655231,.52009054,.41165924,.53911095,.31351116
-7.9670059,.34698120,.25884864,.38815002,.45080265E-01,.46479543,.73910447,.13497550,.52676825,.17444979,.58577409,.46432465,.58101256E-01,.28805402,.35166141,.50490599,.88844884
-8.9185560,.98242920,.24420859,.40651699,.16822979,.93498965E-01,.32272928,.12250140,.25224881,.54513337,.74032000E-01,.66940767,.31901232,.99405833,.55012763,.24421864,.94695242
-8.9787988,.24511590,.22916669,.47016651,.23783852,.15883771,.46802659,.20187008,.15526449,.76623574E-01,.39765334,.79271905,.23250913,.61289142,.43724027,.20245246,.48396380
-9.6386895,.54692458,.25963777,.30962266,.75900776E-01,.27011068,.39140629,.59236761,.69054926,.36310651,.24787790,.24393110,.17337901,.36777132,.50582424,.27521532,.31969288
-11.112758,.39924831,.25466857,.54196350,.37757459,.69157504E-01,.46628700,.21158682,.42984842,.41298323E-01,.12780639,.84463287,.39318941,.48313427,.26323918,.11106640,.60075927
-5.2315353,.20474280,.23217970,.63582760,.33880507,.14694467,.54934212,.85982511E-01,.92279242,.19795453,.55608596,.40211579,.11249629,.10268816,.34535440,.29199007,.51956307
-8.6030591,.32461749,.18395665,.49441024,.14653232,.33533879,.36872161,.36317015,.76372957,.49250165,.35935188,.26701111,.10579903,.31974023,.42190111,.38228715,.53114641
-9.3766154,.41821214,.15037627,.47440427,.36293489,.39872420E-01,.29401507,.57546553,.88954914,.94337429E-01,.33548947,.38873365,.12788628,.26393753,.23145285,.34797611,.73937120
-13.227385,.11478865,.31899501,.10606897,.93838847E-01,.77278263E-01,.20258592,.85357203,.11479931,.80760884,.20658277,.37432267,.25827103,.97830606,.35428239,.32609428,.58249070
-6.9722304,.38243905,.25784079,.47662181,.26132161,.32605467,.48973445,.31924415,.86054900,.22254380,.42505019,.48732206,.17489461,.51443557,.31742734,.64060925,.69066077
-8.0612840,.66304834,.34918724,.29107688,.11519375,.21785987,.51123243,.31200640,.36288915,.43496242,.31636321,.26530353,.19350828,.19499966,.24483916,.31896627,.71478014
-9.6137722,.77332043,.28806056,.21723972,.54965380E-02,.36241084,.36394024,.65878675,.65747706,.31758242E-01,.17620463,.73481987,.29847292,.34383020,.29406499,.40983587,.89120050
-8.1765025,.82064568,.27593620,.44807147,.23521661,.64753365E-01,.38100875,.25260510,.88567635,.44200407,.21959590,.28608093,.22543802,.19763418,.39555048,.18440054,.85971993
-8.9769843,.83785202,.21659331,.31726928,.56129556E-01,.18224524,.36215134,.29230315,.18754075,.69170695,.28355149,.32339837,.12105657,.59584191,.57029637,.42214202,.71100459
-7.7216770,.57211884,.28626386,.30662058,.10089018,.34060069,.55693576,.41439486,.51179572,.26257280,.30335220,.38834012,.24697765,.18939803,.53320131,.15701704,.36624479
-6.4570837,.46388678,.29780863,.33387957,.58206012E-01,.44585549,.53573190,.39173494E-01,.16304951,.60103070,.30696499,.49637756,.19693771,.75819526,.43231145,.42995280,.59338936
-9.3446234,.65774240,.23379950,.36950858,.20053781,.16764742,.27271726,.48530454,.82863024,.43062658,.30182020,.30110292,.71037829E-01,.80693958,.29934275,.47886050,.53215612
-8.8031834,.88020757,.23844085,.22854997,.17380035E-01,.14021858,.27632850,.80667211,.71717120,.27866358E-01,.30430465,.70110788,.25210048,.49782981,.66228736,.40488851,.41765329
-9.5322837,.39967735,.22838664,.41301309,.29443521,.28328291,.52952496,.30576691,.54677754,.22707491,.29567093,.49273501,.18684201,.49436750,.27718131,.40812778,.29011371
-9.4395622,.46346472,.18515094,.55360613,.33668495,.14716667,.46190260,.66295936E-01,.23738009,.37595216,.26370070,.46447143,.13646621,.79484277,.59072072,.45931438,.66414674
-8.1828970,.29677736,.24153012,.29059850,.16448515,.34476360,.32112628,.73920103,.58344552,.68097126E-01,.98809402E-01,.58356174,.26016868,.24844350,.23168522,.33687334,.46892313
-6.1709166,.81101652,.25142341,.43877877,.26123725,.19654673,.44005976,.15274886,.34950750,.31784227,.18846036,.50645259,.24852906,.71598210,.49887755,.21646218,.57370735
-11.368523,.17152260,.17990075,.39217549,.26724968,.20814624,.27086001,.81861248,.82808378,.22287704,.31142529E-01,.39059205,.31836747,.18385268,.35492366,.17046438,.70183504
-12.071898,.63954894,.28560453,.51697980,.10353804,.49706938,.62963044,.93281229E-01,.41959547,.25777217,.54908299,.45526616,.12017854,.39617703,.24228588,.54406916,.80038476
-9.8510698,.94907009,.27638372,.38259287,.49278852E-01,.40465673,.34183434,.52299840,.78320528,.55348777,.20873333,.91127901E-01,.11461185,.33555829,.51422995,.38865020,.76874565
-7.5215317,.46141938,.20829061,.48564306,.25530509,.32444291,.48956824,.40778692,.31187575,.27923885,.24731756,.36951646,.22774872,.15312504,.37677360,.35079207,.68111135
-4.5802726,.55767825,.24611153,.28621167,.99253646E-02,.46661613,.48219309,.47472421,.29969128,.78043686E-01,.18185941,.68879447,.26889213,.60751214,.45888054,.30650110,.60833910
